Url;World rank;Overall Visits;Time On Site;Pages per Visit;Bounce Rate;Organic Search;Country 1;%;Country 2;%;Country 3;%;Country 4;%;Country 5;%;DA;PA
zapier.com;3,808;37.1K;4:55;5,41;46.20%;34;United States;48.0%;India;7.4%;Canada;4.0%;Japan;3.6%;United Kingdom;3.5%;0;0
zumata.com;1,645,426;42.7K;2:40;1,60;56.80%;22;;;;;;;;;;;27;29
zillow.com;217;35.4K;5:15;5,49;39.80%;35;;;;;;;;;;;91;68
yikyak.com;-
zombiesrungame.com;322,260;49K;1:32;1,30;80.30%;22;United States;51.0%;United Kingdom;31.0%;;;;;;;59;55
zenithmedia.com;262,916;61.5K;2:10;1,60;60.10%;52;United States;33.3%;India;8.7%;Russia;1.1%;;;;;47;38
ycombinator.com;3,047;20.9K;3:30;1,78;49.50%;13;United States;56.8%;United Kingdom;5.4%;India;4.5%;Japan;3.9%;Canada;3.6%;91;67
yourmechanic.com;13,976;75.3K;1:45;1,33;79.70%;72;United States;71.5%;Canada;4.4%;United Kingdom;3.0%;India;1.9%;Australia;1.8%;57;46
youtube.com;2;27K;8:54;4,94;56.20%;14;United States;16.8%;India;8.1%;Japan;4.7%;Russia;4.3%;China;3.9%;0;0
wunwun.com;4,825,047;8.3K;0:57;1,00;75.00%;8;;;;;;;;;;;0;0
womentechmakers.com;476,015;51.9K;1:29;1,30;79.60%;16;United States;59.5%;India;10.6%;Egypt;3.3%;;;;;0;0
